,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
20,-4064.74267578125,,27.883899688720703,0.04864121973514557,0.0,8.405211448669434,0.0007469705305993557,1.0,-0.0030811947584152223,3.652508497238159,0.2105976790189743,2.3653175830841064,5.215669631958008,0.26291531324386597,3.5997164249420166,3.862990617752075,4.164529323577881,-1.2976484298706055,-3.3028781414031982,-3.1617374420166016,-2.7673702239990234,-12.39088249206543,-6.489800453186035
21,-3944.704345703125,,0.15448737144470215,0.22391492128372192,0.0,10.145003318786621,0.08207815140485764,1.0,-0.0027788400650024412,4.613797187805176,0.149539515376091,-3.1745705604553223,0.2891697287559509,-2.6420414447784424,1.1069464683532715,3.03521728515625,3.873309373855591,-3.809140920639038,-2.1203577518463135,-6.0165863037109375,-6.84151554107666,-6.262985706329346,-6.258123397827148
22,-3998.0556640625,,21.19279670715332,0.04262746497988701,0.0,9.56428050994873,4.89486483274959e-05,1.0,-0.000853944793343544,3.3751742839813232,0.18488073348999023,1.5150140523910522,5.86223030090332,-2.4446120262145996,3.7043280601501465,3.4200222492218018,4.1281890869140625,-11.885110855102539,-2.087900161743164,-3.463282346725464,-3.515186309814453,-10.578855514526367,-1.853357195854187
23,-3901.95849609375,,23.706483840942383,0.05021478608250618,0.0,7.533170700073242,0.07968895882368088,1.0,-0.010466915369033814,3.4083147048950195,0.214707151055336,2.5434470176696777,5.378402233123779,0.24399156868457794,3.6182827949523926,3.7550549507141113,4.302041530609131,-5.428114891052246,-7.302840232849121,-1.401981234550476,-5.8497161865234375,-5.230030536651611,-9.02842903137207
24,-3957.508544921875,,22.40240478515625,0.0407225526869297,0.0,11.744036674499512,0.05723007023334503,1.0,-0.0011774035543203353,3.614208459854126,0.2092771977186203,1.3883470296859741,5.5988616943359375,-1.8805011510849,3.962660789489746,3.3445756435394287,4.306783676147461,-0.45868465304374695,-2.080918788909912,-3.350419521331787,-3.985687494277954,-7.797778129577637,-8.3215913772583
25,-3791.444580078125,,17.113037109375,0.07015029340982437,0.0,5.770094394683838,0.0020226866472512484,1.0,-0.007151294350624084,3.3167543411254883,0.2125197947025299,-0.22204594314098358,6.655445098876953,-6.222223281860352,4.044220447540283,3.245589017868042,4.410906791687012,-3.15091609954834,-0.5680539011955261,-4.6112895011901855,-3.614166259765625,-8.983009338378906,-4.2413105964660645
26,-4121.27099609375,,21.5555477142334,0.05282760038971901,0.0,4.911306858062744,0.0003354380023665726,1.0,0.0012844598293304443,3.398695707321167,0.2204659879207611,1.5714995861053467,5.584127426147461,-1.932693362236023,3.4657764434814453,3.5402936935424805,4.006418704986572,-2.772749423980713,-2.0303151607513428,-2.9811818599700928,-4.524596691131592,-6.877484321594238,-14.71586799621582
27,-3918.05126953125,,18.510786056518555,0.04886055737733841,0.0,5.284916400909424,4.856010913848877,1.0,-0.0064315909147262575,3.155719041824341,0.19540217518806458,1.5471327304840088,6.424301624298096,-4.498418807983398,3.695577621459961,3.535949230194092,4.085415363311768,-7.385756015777588,-9.067608833312988,-4.052404403686523,-2.843660593032837,-10.868491172790527,-6.428274631500244
28,-3973.341064453125,,18.108814239501953,0.02915513888001442,0.0,11.548181533813477,0.0024222570937126875,1.0,-0.005001758933067322,3.270040273666382,0.24558331072330475,0.5705801844596863,6.9801530838012695,-6.334914207458496,3.7714951038360596,3.301175594329834,4.395944595336914,2.2998738288879395,-9.289701461791992,-0.8628011345863342,-4.463484287261963,-5.8570756912231445,-9.946172714233398
29,-4001.0439453125,,15.118977546691895,0.038616061210632324,0.0,4.144205570220947,0.007752364035695791,1.0,-0.00861388623714447,3.5327656269073486,0.22729890048503876,0.7850350141525269,6.172693729400635,-3.731261730194092,4.502080917358398,3.1816353797912598,4.030340194702148,-5.001888751983643,1.0066843032836914,-8.00941276550293,-10.71060562133789,-9.861742973327637,-0.6829805374145508
