"","time","seas1","seas2","seas3","seas4","seas5","seas6"
"27",26,0.00132309930047179,0.00145738227046107,0.0808570213472699,0.422115889017682,0.416745964044789,0.0775006440193263
"28",27,0.00255621156574607,0.000704239627650691,0.0589767232630101,0.381661884492063,0.452465764086033,0.103635176965497
"29",28,0.00462579534928248,0.000307938622445208,0.0417107594210686,0.337630052703612,0.480908295955407,0.134817157948185
"30",29,0.00792507807152177,0.000119823891851599,0.0285355084778306,0.292094602821874,0.500493134979441,0.170831851757481
"31",30,0.0129456399102719,4.93961564546111e-05,0.0188307720439245,0.246986321344026,0.510110432288122,0.211077438257201
"32",31,0.0202637366183884,5.54185687606856e-05,0.0119468137764843,0.203975422035829,0.509209851331471,0.254548757669066
"33",32,0.0305126897278928,0.000141667266060564,0.00725746585785622,0.16438922740648,0.497843062350917,0.299855887390794
"34",33,0.0443413441405257,0.000357326127813638,0.00419930286073927,0.129164681717377,0.476659794805452,0.345277550348092
"35",34,0.0623585931047344,0.000802025737554033,0.00229688299976092,0.0988356955247967,0.446857447752576,0.388849354880578
"36",35,0.0850639705920389,0.00163552654438775,0.00117405677441821,0.0735553217435451,0.410084258205583,0.428486866140027
"37",36,0.112764557187958,0.00309195246591613,0.000551436761549035,0.0531525171163909,0.368296437659184,0.462143098809003
"38",37,0.145485032042636,0.00549597205824577,0.00023263143167357,0.0372166565441475,0.323580664358686,0.48798904356461
"39",38,0.182894500608543,0.00927192545218373,8.82447901068725e-05,0.0251861705490346,0.277981314191681,0.504577844408451
"40",39,0.224266219217422,0.0149397557024039,4.37831960568874e-05,0.016425184819131,0.233359298622541,0.510965758442445
"41",40,0.268472138139977,0.0230970124949252,7.22014143670597e-05,0.0102862401904415,0.191285712408876,0.506786695351412
"42",41,0.314012276179476,0.0343869232410248,0.000191092871780685,0.00615908001539724,0.152970312851897,0.492280314840424
"43",42,0.359078926799259,0.049452531557586,0.000464524117726996,0.00350550491779141,0.119224830580693,0.468273682026943
"44",43,0.401655695784167,0.0688769031338806,0.00100951348962898,0.00188029493414977,0.0904611118704266,0.436116480787747
"45",44,0.439651367311292,0.0931094008595407,0.00200715326854095,0.00093819975572773,0.0667240906196785,0.39756978818522
"46",45,0.471067054967961,0.12237895529097,0.00371802253378194,0.00042734986246832,0.0477586639097103,0.354649953435108
"47",46,0.494176493995439,0.15660641668911,0.00649728643736032,0.000173692828125361,0.0330983849127153,0.30944772513725
"48",47,0.507678023395204,0.195340859446439,0.0108000073008987,6.59293938429632e-05,0.0221511023311791,0.263964078132435
"49",48,0.51080116948539,0.237730091950667,0.0171727616122254,4.48552330247312e-05,0.0142712933209083,0.219979828397785
"50",49,0.503366788349342,0.282525997419924,0.026231324622648,9.73467064781198e-05,0.00881846436289076,0.178960078538716
"51",50,0.48580076623896,0.328124706271883,0.0386244223306608,0.000254990822080522,0.00520161952159209,0.141993494814824
"52",51,0.459101277932814,0.372641600026778,0.0549835508520873,0.000597359398967089,0.00290979608968543,0.109766415699668
"53",52,0.424759603049055,0.414021146744349,0.0758588631766584,0.00125992743624029,0.00152866761921683,0.0825717919744809
"54",53,0.384634545980636,0.450181522327152,0.101641150711546,0.00244662524790686,0.000743224777499629,0.060352930955259
"55",54,0.340784813843015,0.479189663300096,0.132472532245953,0.00444602907486328,0.000327529316916743,0.0427794322191565
"56",55,0.295289368059675,0.499436735440848,0.168163859711949,0.00764432945956665,0.000128401872994147,0.029337305454967
"57",56,0.250093252325975,0.509776515520614,0.208141342385883,0.0125265053284166,5.16156457198345e-05,0.0194107687933915
"58",57,0.206888004343561,0.509617578763045,0.251427853965687,0.0196636220921943,5.26776537624432e-05,0.0123502631817497
"59",58,0.167026899087846,0.498969044258777,0.296659071181595,0.0296861971331297,0.000132254193017348,0.00752653414563535
