,,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
0.0,49,-3777.216064453125,,21.912742614746094,0.06356290727853775,0.0,10.061932563781738,6.666589615633711e-05,1.0,-0.004115975797176361,3.383364677429199,0.24218858778476715,1.6306651830673218,5.818562984466553,-2.2426669597625732,3.994279384613037,3.398806571960449,4.323333740234375,-5.327968597412109,-2.3560750484466553,-3.348966598510742,-3.9866366386413574,-9.336590766906738,-2.2947237491607666
0.0,50,-3797.634033203125,,15.820928573608398,0.044080451130867004,0.0,15.712764739990234,0.006740508135408163,1.0,-0.0028681734204292295,2.9318735599517822,0.2822060286998749,1.225760817527771,6.091283321380615,-3.291355848312378,3.5854339599609375,3.505916118621826,4.288363933563232,-14.661721229553223,-9.345922470092773,-3.5883703231811523,-2.7923996448516846,-11.159550666809082,-0.6051487326622009
0.0,51,-3752.21337890625,,19.637542724609375,0.052601687610149384,0.0,18.837533950805664,0.06556269526481628,1.0,-0.003757133185863495,2.9888153076171875,0.2646791934967041,0.9417657852172852,6.0014567375183105,-2.893968343734741,3.9573991298675537,3.3729820251464844,4.4706010818481445,-1.8960533142089844,-1.242806315422058,-4.028432846069336,-3.4899771213531494,-9.183904647827148,-5.533472537994385
0.0,52,-3754.374267578125,,18.843769073486328,0.047978684306144714,0.0,21.28173065185547,0.0010336337145417929,1.0,-0.005125681757926941,3.172606945037842,0.254391074180603,1.1510951519012451,5.918581962585449,-2.7053751945495605,3.600445508956909,3.589690685272217,4.1892170906066895,-2.3496060371398926,-1.3115092515945435,-4.402371406555176,-3.266362428665161,-7.87230110168457,-3.161699056625366
0.0,53,-3784.631591796875,,23.73958969116211,0.07155277580022812,0.0,9.552644729614258,0.007668333128094673,1.0,-0.0032078638672828675,3.306670904159546,0.2530159652233124,1.702515959739685,5.634267330169678,-1.913150668144226,3.914452075958252,3.5104169845581055,4.3103837966918945,-1.8776172399520874,-2.5310118198394775,-2.14243483543396,-5.797358512878418,-6.915430068969727,-9.608461380004883
0.0,54,-3779.0478515625,,16.90385627746582,0.0563034825026989,0.0,7.699320316314697,0.9677923321723938,1.0,-0.0029884740710258485,2.8420560359954834,0.32191652059555054,0.019873477518558502,7.215182781219482,-6.741804122924805,3.8240721225738525,3.2498674392700195,4.566648006439209,0.06408984214067459,-5.381779670715332,-4.314274787902832,-2.46468448638916,-9.5856351852417,-6.674864292144775
0.0,55,-3803.3857421875,,21.222055435180664,0.07320031523704529,0.0,5.8804216384887695,0.06111494079232216,1.0,-0.00248045951128006,3.303363800048828,0.293620765209198,1.9815596342086792,5.49551248550415,-1.492213487625122,3.642256021499634,3.5889554023742676,4.039065837860107,-8.148024559020996,-6.2030534744262695,-3.6879465579986572,-3.5814406871795654,-9.744481086730957,-3.2356956005096436
0.0,56,-24867.998046875,,,,0.0,,0.01386980153620243,1.0,,,,,,,,,,,,,,,
0.0,57,-3798.802978515625,,20.816234588623047,0.05385548248887062,0.0,9.561127662658691,0.023370034992694855,1.0,-0.0029485562443733217,3.1544463634490967,0.3107643127441406,1.7552193403244019,5.714895248413086,-2.1257030963897705,3.80471134185791,3.4279139041900635,4.249414443969727,-6.481696128845215,-10.708837509155273,-1.3884965181350708,-5.36928129196167,-5.90974760055542,-6.295145511627197
0.0,58,-3817.938720703125,,23.62849998474121,0.05969491973519325,0.0,9.334760665893555,0.05198874697089195,1.0,-0.002688217759132385,3.5078186988830566,0.2974822521209717,2.1679859161376953,5.40949821472168,-1.0983843803405762,3.7245991230010986,3.615619421005249,4.171979904174805,-9.126648902893066,-4.430441379547119,-1.9730325937271118,-5.18883752822876,-6.2959818840026855,-9.431734085083008
0.0,59,-3774.2412109375,,19.534530639648438,0.06330276280641556,0.0,7.78663444519043,0.1763087958097458,1.0,-0.003097767233848572,3.2962660789489746,0.29885417222976685,1.604043960571289,5.734282493591309,-2.9337494373321533,3.6229748725891113,3.6561639308929443,4.0851850509643555,-3.9944534301757812,0.07199671119451523,-4.482231140136719,-2.893347978591919,-9.293732643127441,-2.1354026794433594
0.0,60,-3761.126953125,,21.588464736938477,0.06908141076564789,0.0,8.980798721313477,0.04451471194624901,1.0,-0.0048395773768424985,3.2264397144317627,0.2671959400177002,1.561934232711792,5.687305927276611,-1.9093458652496338,4.046390533447266,3.400829553604126,4.41766357421875,-1.2925570011138916,-2.5315349102020264,-2.368184804916382,-5.762108325958252,-5.2590837478637695,-8.789573669433594
0.0,61,-3765.978515625,,20.589794158935547,0.07024985551834106,0.0,7.7327351570129395,0.00024361103714909405,1.0,-0.00515877366065979,3.3576204776763916,0.27600806951522827,1.39889657497406,5.58774471282959,-1.6466227769851685,3.8334712982177734,3.4996087551116943,4.287716388702393,-2.758835554122925,-0.636096179485321,-4.553757667541504,-3.3885133266448975,-8.926424980163574,-2.6938652992248535
0.0,62,-3768.1005859375,,16.57498550415039,0.05449322238564491,0.0,8.902165412902832,0.00023027113638818264,1.0,-0.004039419293403626,2.8738577365875244,0.30050531029701233,-0.40721410512924194,7.654834747314453,-8.524436950683594,4.521193027496338,2.9186487197875977,4.794071197509766,0.34665822982788086,-5.346705913543701,-3.5303843021392822,-3.577709913253784,-8.298237800598145,-6.724735260009766
0.0,63,-3771.4833984375,,16.739280700683594,0.03357807546854019,0.0,35.27617645263672,0.03461117297410965,1.0,-0.00561887800693512,3.0988166332244873,0.2867138087749481,0.12975642085075378,6.499235153198242,-4.7236857414245605,3.9168593883514404,3.1549956798553467,4.728187561035156,-1.5354430675506592,0.16523496806621552,-4.680357456207275,-2.3788869380950928,-7.8402276039123535,-7.78316593170166
0.0,64,-3762.620361328125,,20.43906021118164,0.06031201407313347,0.0,10.891050338745117,0.021163493394851685,1.0,-0.004009985029697418,3.3405237197875977,0.25272685289382935,1.4847743511199951,6.0993547439575195,-3.612448215484619,4.01658821105957,3.434126615524292,4.364716529846191,-4.448337078094482,-0.6249873042106628,-3.574065923690796,-3.6714792251586914,-7.998022556304932,-3.2431788444519043
0.0,65,-3768.081298828125,,19.173912048339844,0.05642466992139816,0.0,9.608316421508789,0.03512521833181381,1.0,-0.005269773006439209,3.186063289642334,0.29479604959487915,0.7325974702835083,6.13041353225708,-3.0862083435058594,4.12813663482666,3.121812343597412,4.719542026519775,-0.9757896065711975,-1.7949848175048828,-3.2748305797576904,-4.32958459854126,-6.192654132843018,-9.322233200073242
0.0,66,-3824.05517578125,,23.609722137451172,0.0493503101170063,0.0,14.362805366516113,0.03496326133608818,1.0,-0.002329456955194473,3.4517338275909424,0.3161311149597168,1.8384791612625122,5.686480522155762,-2.1058061122894287,4.110626220703125,3.358064889907837,4.400055885314941,-7.858638286590576,-0.21418403089046478,-2.7718374729156494,-4.6893229484558105,-7.829742431640625,-7.346242904663086
0.0,67,-3779.529052734375,,25.53411865234375,0.0684031993150711,0.0,11.421919822692871,0.003003831719979644,1.0,-0.0034466278553009033,3.6101295948028564,0.26830175518989563,1.9351967573165894,5.606738090515137,-0.8977412581443787,3.9278318881988525,3.603821039199829,4.298225402832031,-1.9296847581863403,-4.706124782562256,-2.1317436695098877,-4.869943618774414,-7.7485671043396,-4.118804931640625
0.0,68,-3788.348876953125,,17.28759765625,0.062329165637493134,0.0,5.997372150421143,0.0051038069650530815,1.0,-0.0032288888096809387,2.828775405883789,0.31903529167175293,1.0412737131118774,6.282389163970947,-4.201401710510254,3.4284932613372803,3.4253625869750977,4.22864294052124,-1.3415157794952393,-2.7338790893554688,-6.13938570022583,-2.6335692405700684,-6.6639790534973145,-9.647470474243164
0.0,69,-3759.395263671875,,20.14398193359375,0.06129109486937523,0.0,10.360223770141602,0.0004114793846383691,1.0,-0.00393866628408432,3.471101999282837,0.2424648106098175,1.1659066677093506,5.901858329772949,-2.567638397216797,3.997580051422119,3.3591861724853516,4.476714134216309,-1.888003945350647,-1.698747992515564,-2.9014267921447754,-4.484659194946289,-6.819682598114014,-4.612817287445068
